Text,Income,Credit_Score,Rating,Loan_Amount,DTI_Ratio,Employment_Status,Approval
I want to pay off my payday loans and switch to a lower-interest option.,175939,690,Good,49203,26.32,0,0
I need money to buy new tools and materials for my woodworking business.,156818,796,Very Good,11646,3.43,1,1
I want to consolidate my credit card debts into one manageable payment.,97394,446,Poor,22273,25.2,0,0
I need a loan to repair my car after an accident.,126908,319,Poor,12799,34.18,1,0
I need a loan to pay off overdue electricity and water bills.,140200,672,Good,2173,15.19,1,1
I need money to start a home-based catering business.,169389,762,Very Good,16413,18.62,1,1
I need money to open a small bookstore and café.,190138,759,Very Good,35566,2.66,0,0
I need money to pay for a vocational training course in plumbing.,118417,625,Fair,91401,11.58,0,0
I need a loan to buy a reliable used car for work commuting.,112256,663,Fair,56694,17.43,0,0
I need funds to upgrade my computer and buy software for freelance work.,198171,316,Poor,105885,10.56,0,0
I need money to publish and market my self-written book.,163336,450,Poor,47173,7.83,0,0
I need financial support to pay for my son's football training program.,85213,830,Excellent,37234,34.28,0,0
I need money to invest in a franchise business opportunity.,59916,502,Poor,16127,22.25,0,0
I need funds to pay for my daughter's college tuition.,119918,712,Good,80209,29.51,0,0
I need a loan to pay for a digital marketing course to grow my business.,173434,375,Poor,98735,7.77,0,0
I need a loan to buy a truck and start a moving business.,194739,478,Poor,14237,7.11,0,0
I need financial support for medical treatment abroad.,178553,837,Excellent,49370,17.0,1,1
I need money to invest in a franchise business opportunity.,167764,431,Poor,101619,3.41,0,0
I need money to cover adoption fees and related expenses.,69582,653,Fair,40994,42.69,1,1
I need money to pay for a vocational training course in plumbing.,76449,628,Fair,49156,53.93,0,0
I need a loan to pay for legal fees related to my business license.,165746,827,Excellent,130874,21.36,0,0
I need financial support for medical treatment abroad.,117561,744,Very Good,40466,4.94,1,1
I need money to pay for a vocational training course in plumbing.,86796,837,Excellent,7403,18.8,0,0
I need money to pay for a vocational training course in plumbing.,45072,635,Fair,35595,40.19,1,0
I need a loan to cover emergency expenses after a natural disaster.,60568,429,Poor,1645,51.8,1,0
I need a loan to pay for legal fees related to my business license.,58481,368,Poor,43733,42.72,1,0
I need funds to pay for my daughter's college tuition.,94512,372,Poor,40389,20.39,1,0
I need money to cover unexpected medical expenses from surgery.,73510,828,Excellent,33486,58.06,0,0
I need financial help to pay off my high-interest payday loans.,186610,781,Very Good,9695,7.33,0,0
I want to pay off my payday loans and switch to a lower-interest option.,195993,692,Good,42882,12.49,1,1
I need a loan to upgrade my small music studio with better equipment.,67880,539,Poor,16212,39.89,1,0
I need a loan to buy a truck and start a moving business.,131837,738,Good,14409,34.05,0,0
I need financial help to install a swimming pool in my backyard.,54526,304,Poor,32054,19.41,0,0
I need money to pay for a vocational training course in plumbing.,184612,302,Poor,108083,18.63,0,0
I need money to refinance my home loan at a lower interest rate.,157938,740,Very Good,44673,26.9,0,0
I need financial help to pay off my high-interest payday loans.,190822,597,Fair,82165,2.85,1,1
I need a loan to cover hospital bills after an unexpected surgery.,148647,563,Poor,94168,8.68,1,0
I need funds to launch my handmade jewelry brand online.,79123,374,Poor,13725,60.71,0,0
I need funds to launch my handmade jewelry brand online.,126090,399,Poor,7793,4.63,0,0
I need a loan to buy a truck and start a moving business.,149988,501,Poor,23224,31.4,1,0
I need financial support to pay for my son's football training program.,111648,363,Poor,55924,17.73,1,0
I need funds to buy new furniture and appliances for my house.,155170,795,Very Good,28520,11.39,0,0
I need a loan to buy a reliable used car for work commuting.,69775,605,Fair,54108,24.43,0,0
I need a loan to cover hospital bills after an unexpected surgery.,92105,759,Very Good,73083,25.82,1,0
I need money to start a home-based catering business.,149337,741,Very Good,59186,4.47,0,0
I want to invest in livestock to start a small dairy farm.,79111,622,Fair,61490,11.76,1,0
I need money to purchase specialized tools for my auto repair shop.,128406,629,Fair,100228,7.78,1,0
I need money to purchase specialized tools for my auto repair shop.,185117,334,Poor,94658,22.43,1,0
I need a loan to build a website and market my freelance services.,82624,470,Poor,39868,48.74,0,0
I need a loan to cover emergency expenses after a natural disaster.,90250,660,Fair,26242,33.39,0,0
I need funds to pay for my daughter's college tuition.,178601,375,Poor,93803,23.29,1,0
I want to purchase land to start an organic farming venture.,110784,380,Poor,43068,10.16,0,0
I need a loan to cover moving expenses after being transferred to another city.,91106,701,Good,48938,53.62,1,0
I need a loan to pay for an international vacation with my family.,124430,348,Poor,65473,38.07,0,0
I need a loan to start a small business.,33258,591,Fair,20262,17.26,1,0
I want to consolidate my credit card debts into one manageable payment.,101653,626,Fair,16365,25.02,0,0
I need money to cover unexpected medical expenses from surgery.,85180,453,Poor,11673,19.58,1,0
I need money to cover funeral expenses for a loved one.,174289,691,Good,43026,17.67,1,1
I need a loan to finance my MBA and career advancement.,154674,680,Good,73703,26.28,0,0
I need funds to upgrade my computer and buy software for freelance work.,184716,321,Poor,117605,26.13,1,0
I need financial help to pay off my high-interest payday loans.,122692,629,Fair,80702,12.48,0,0
I need funds to enroll in a professional certification program.,120174,589,Fair,93968,28.01,1,0
I need money to cover funeral expenses for a loved one.,82057,650,Fair,9660,39.44,1,1
I need a loan to relocate to a new city after getting a job offer.,69774,779,Very Good,18278,35.34,1,1
I want to start a local transportation service and need funds for a van.,152966,354,Poor,64882,21.78,1,0
I want to start a local transportation service and need funds for a van.,178628,794,Very Good,45089,4.36,1,1
I need financial assistance to buy farm equipment for my agricultural business.,177151,394,Poor,74963,22.83,1,0
I need money to open a small bookstore and café.,46282,398,Poor,36200,58.28,0,0
I need a loan to support my side business selling handmade candles.,167030,348,Poor,43731,16.45,0,0
I need a loan to finance my MBA and career advancement.,68882,422,Poor,39928,17.86,0,0
I need funds to pay for my daughter's college tuition.,97402,765,Very Good,21831,51.14,1,0
I need money to cover unexpected medical expenses from surgery.,102192,531,Poor,62654,43.41,1,0
I need money to purchase specialized tools for my auto repair shop.,145149,579,Poor,94214,19.85,0,0
I need financial support to renovate my rental apartment.,145894,358,Poor,89984,27.32,1,0
I need funds to buy new furniture and appliances for my house.,40952,754,Very Good,10478,22.37,0,0
I need money to purchase updated equipment for my photography business.,181896,647,Fair,72381,11.54,0,0
I need a loan to buy a truck and start a moving business.,121577,717,Good,54404,11.24,1,1
I need money to pay for a vocational training course in plumbing.,105646,684,Good,48618,4.9,1,1
I want to consolidate my credit card debts into one manageable payment.,56141,693,Good,36036,17.51,0,0
I need a loan to start a small business.,76644,697,Good,27298,50.72,1,0
I need money to buy new tools and materials for my woodworking business.,33587,702,Good,2360,61.03,0,0
I need financial support to open a daycare center in my neighborhood.,82575,744,Very Good,25311,6.72,1,1
I want to invest in livestock to start a small dairy farm.,159172,389,Poor,84006,29.78,0,0
I need money to start a home-based catering business.,22100,423,Poor,8089,25.87,1,0
I need financial assistance to buy farm equipment for my agricultural business.,63229,360,Poor,42883,32.5,1,0
I need a loan to develop and launch my mobile app startup.,115639,438,Poor,80732,5.64,0,0
I need a loan to support my side business selling handmade candles.,61439,504,Poor,25315,57.21,0,0
I need a loan to pay for a much-needed vacation after years of saving.,80624,414,Poor,43550,52.9,1,0
I need a loan to buy a reliable used car for work commuting.,54877,774,Very Good,33309,50.77,0,0
I want to pay off my payday loans and switch to a lower-interest option.,87577,579,Poor,18965,52.87,1,0
I need funds to launch my handmade jewelry brand online.,94928,588,Fair,44172,24.96,1,1
I need funds to pay for my pilot training program.,111189,658,Fair,28703,35.7,0,0
I need a loan to pay for a digital marketing course to grow my business.,106552,707,Good,21565,29.67,1,1
I need a loan to pay for my son's medical treatment and therapy.,59166,426,Poor,41404,63.09,0,0
"I need financial help to cover wedding expenses, including the venue and catering.",102548,717,Good,2582,29.15,1,1
I need money to invest in a franchise business opportunity.,46882,730,Good,21289,30.17,0,0
"I need a loan for home renovation, including a kitchen remodel.",137347,310,Poor,59839,17.78,1,0
I want to buy a car for my rideshare business on Uber.,126457,316,Poor,26787,10.75,0,0
I want to expand my small online clothing store.,115937,816,Excellent,4561,24.95,1,1
I need a loan to pay for my son's medical treatment and therapy.,72179,304,Poor,29915,13.09,1,0
I need funds to enroll in a professional certification program.,130928,808,Excellent,42423,8.52,0,0
"I need financial help to cover wedding expenses, including the venue and catering.",110927,839,Excellent,75983,30.5,1,0
I need a loan to pay for my son's medical treatment and therapy.,53803,483,Poor,20806,40.43,1,0
I need money to cover funeral expenses for a loved one.,84302,634,Fair,58978,29.84,0,0
I need a loan to relocate to a new city after getting a job offer.,118402,570,Poor,29022,24.45,1,1
I need funds to launch my handmade jewelry brand online.,142562,355,Poor,95723,18.19,0,0
I need financial assistance to buy farm equipment for my agricultural business.,170121,381,Poor,105296,27.71,0,0
I need money to purchase a food truck and start my own business.,126067,519,Poor,44266,26.3,0,0
I need financial assistance to buy farm equipment for my agricultural business.,165156,540,Poor,85480,10.76,0,0
I need a loan to pay for my son's medical treatment and therapy.,142868,350,Poor,32835,12.02,0,0
I need money to purchase specialized tools for my auto repair shop.,43252,571,Poor,1391,48.59,1,1
I need a loan to buy a truck and start a moving business.,83411,522,Poor,19829,20.9,0,0
I need financial support to renovate my rental apartment.,87915,340,Poor,18481,19.56,0,0
I need a loan to finance my MBA and career advancement.,62956,704,Good,25645,55.85,1,0
I need a loan to cover moving expenses after being transferred to another city.,63342,749,Very Good,16516,56.87,1,0
I need a loan to pay off overdue electricity and water bills.,160225,646,Fair,19440,29.78,1,1
I need money to cover unexpected legal expenses related to a dispute.,82468,486,Poor,38698,7.79,1,0
I want to invest in a rental property as a source of passive income.,65924,828,Excellent,20224,35.31,1,1
I need a loan to repair my car after an accident.,97836,806,Excellent,10253,49.31,1,1
I want to consolidate my credit card debts into one manageable payment.,196335,794,Very Good,85169,13.61,1,1
I need money to buy new tools and materials for my woodworking business.,90445,650,Fair,51987,14.72,1,1
I need a loan to pay for a down payment on my first home.,104831,746,Very Good,80868,40.3,1,0
I need funds to buy new furniture and appliances for my house.,164471,526,Poor,4860,7.99,1,0
I need financial support to open a daycare center in my neighborhood.,94539,551,Poor,21280,20.08,1,1
I need financial assistance to launch my own YouTube content creation business.,183949,454,Poor,130174,7.29,0,0
I want to start a small roadside food stall and need funds for equipment.,142385,523,Poor,10887,12.89,0,0
"I need a loan for home renovation, including a kitchen remodel.",136116,303,Poor,74205,13.66,0,0
"I need financial help to cover wedding expenses, including the venue and catering.",82400,687,Good,22958,8.82,0,0
I need funds to stock inventory for my new retail store.,183552,815,Excellent,36460,13.59,0,0
I need financial support to pay for my son's football training program.,90844,318,Poor,57928,54.23,0,0
I need a loan to pay for a much-needed vacation after years of saving.,152733,471,Poor,60433,21.64,0,0
I need money to cover unexpected legal expenses related to a dispute.,117321,302,Poor,21958,28.26,1,0
I need a loan to buy a reliable used car for work commuting.,84254,714,Good,47770,20.78,0,0
I need a loan to cover moving expenses after being transferred to another city.,127904,372,Poor,76192,18.4,0,0
I need money to start a home-based catering business.,102591,797,Very Good,77834,46.12,1,0
I want to make home improvements like installing solar panels.,157027,522,Poor,92617,27.69,0,0
I need money to launch my own tech startup focused on AI solutions.,92822,379,Poor,67333,23.58,0,0
I need funds to pay for my daughter's college tuition.,174475,622,Fair,4724,14.64,0,0
I need money to cover funeral expenses for a loved one.,57466,726,Good,20437,58.48,1,0
I need money to refinance my home loan at a lower interest rate.,54278,403,Poor,36917,28.16,1,0
I want to make home improvements like installing solar panels.,106388,595,Fair,45490,39.34,1,1
I need financial help to build my dream home in the countryside.,24268,304,Poor,6978,40.38,0,0
I need financial assistance to launch my own YouTube content creation business.,62820,440,Poor,39769,28.1,0,0
I need financial support to pay for my son's football training program.,98688,476,Poor,22183,47.37,0,0
I need financial support to open a daycare center in my neighborhood.,140873,816,Excellent,9416,26.42,1,1
I want to invest in livestock to start a small dairy farm.,73747,761,Very Good,43137,53.51,0,0
I need a loan to relocate to a new city after getting a job offer.,106462,597,Fair,51847,8.84,1,1
I need funds to pay for my pilot training program.,40194,504,Poor,19859,54.09,0,0
I need a loan to pay for legal fees related to my business license.,100202,778,Very Good,79572,42.59,0,0
I need money to start a home-based catering business.,168732,696,Good,64292,10.45,1,1
I need a loan to pay for a down payment on my first home.,60413,506,Poor,8820,51.12,1,0
I need a loan to pay for legal fees related to my business license.,54710,307,Poor,28439,20.99,0,0
I need financial help to cover maternity and delivery expenses.,103533,760,Very Good,67396,48.15,0,0
I need funds to upgrade my computer and buy software for freelance work.,106650,811,Excellent,69516,45.58,0,0
I want to pay off my payday loans and switch to a lower-interest option.,105925,667,Fair,47145,35.26,1,1
I need money to cover adoption fees and related expenses.,86785,781,Very Good,36992,38.3,1,1
I need a loan to upgrade my small music studio with better equipment.,128770,843,Excellent,39164,10.64,1,1
I want to pay off my payday loans and switch to a lower-interest option.,47921,457,Poor,17822,34.38,0,0
I need financial help to install a swimming pool in my backyard.,131621,317,Poor,102650,29.32,1,0
I need funds to launch my handmade jewelry brand online.,143195,342,Poor,60327,6.4,1,0
I need money to pay for a vocational training course in plumbing.,127009,498,Poor,82554,6.29,0,0
I need a loan to relocate to a new city after getting a job offer.,65444,346,Poor,48927,40.96,1,0
I need money to launch my own tech startup focused on AI solutions.,180291,847,Excellent,8968,10.89,0,0
I need financial assistance to launch my own YouTube content creation business.,187240,367,Poor,125683,23.93,0,0
I need a loan to buy a truck and start a moving business.,55370,579,Poor,11017,48.87,0,0
I need a loan to pay for an international vacation with my family.,74983,671,Good,40937,40.69,0,0
I need money to cover funeral expenses for a loved one.,112782,686,Good,40210,33.03,1,1
I want to pay off my payday loans and switch to a lower-interest option.,150617,528,Poor,33927,28.25,1,0
I need a loan to support my side business selling handmade candles.,173217,346,Poor,114297,8.2,1,0
I need funds to stock inventory for my new retail store.,181740,556,Poor,39571,12.5,1,1
I need a loan to upgrade my small music studio with better equipment.,93496,317,Poor,26062,38.2,0,0
I need financial help to pay off my high-interest payday loans.,30713,532,Poor,19465,36.84,0,0
I need financial help to cover unexpected veterinary bills for my pet.,143513,592,Fair,58250,27.8,0,0
I need a loan to pay for a much-needed vacation after years of saving.,179819,674,Good,81940,6.92,1,1
I need money to publish and market my self-written book.,131505,573,Poor,95586,29.85,1,0
I need funds to launch my handmade jewelry brand online.,188135,832,Excellent,135821,16.47,0,0
I want to make home improvements like installing solar panels.,169566,730,Good,65144,9.1,1,1
I need funds to stock inventory for my new retail store.,132554,331,Poor,48263,35.55,0,0
I need funds to upgrade my computer and buy software for freelance work.,63449,770,Very Good,32494,51.26,0,0
I need a loan to upgrade my small music studio with better equipment.,74994,401,Poor,13613,45.42,1,0
I need funds to pay for my pilot training program.,125606,486,Poor,29001,34.78,1,0
I need a loan to pay for my son's medical treatment and therapy.,44188,842,Excellent,31719,24.71,1,0
I need financial support to renovate my rental apartment.,58451,690,Good,23274,49.12,0,0
I want to buy a car for my rideshare business on Uber.,183278,323,Poor,41045,17.76,1,0
I need money to cover unexpected legal expenses related to a dispute.,140630,447,Poor,86690,13.81,0,0
I need financial assistance to buy farm equipment for my agricultural business.,138046,814,Excellent,4535,31.12,1,1
I need funds to stock inventory for my new retail store.,79768,782,Very Good,55232,62.08,1,0
I need funds to pay for my daughter's college tuition.,132305,623,Fair,105785,17.29,0,0
I need a loan to relocate to a new city after getting a job offer.,195924,587,Fair,118080,18.14,0,0
I need funds to launch my handmade jewelry brand online.,73090,837,Excellent,54644,13.78,1,0
I need money to invest in stock trading and portfolio building.,75084,773,Very Good,5345,51.54,0,0
I want to expand my small online clothing store.,103992,805,Excellent,8612,42.78,0,0
I need a loan to pay for my son's medical treatment and therapy.,153674,699,Good,54082,10.4,1,1
I want to start a local transportation service and need funds for a van.,89094,824,Excellent,54873,38.22,1,0
I want to start a mobile pet grooming service and need funds for supplies.,25991,459,Poor,16695,23.5,0,0
I need money to refinance my home loan at a lower interest rate.,153888,437,Poor,86046,4.38,0,0
I need a loan to start a small business.,125326,697,Good,5803,35.15,1,1
"I need financial help to cover wedding expenses, including the venue and catering.",139192,435,Poor,64051,13.92,1,0
I need a loan to develop and launch my mobile app startup.,121612,536,Poor,37031,16.18,0,0
I need money to purchase a food truck and start my own business.,179245,765,Very Good,64598,4.48,0,0
I need a loan to buy a reliable used car for work commuting.,130290,802,Excellent,61324,20.33,0,0
I need a loan to upgrade my small music studio with better equipment.,79057,495,Poor,24220,34.37,0,0
I want to consolidate my credit card debts into one manageable payment.,147621,752,Very Good,97958,13.87,1,0
I need funds to stock inventory for my new retail store.,192543,523,Poor,85647,6.01,0,0
I need a loan to support my side business selling handmade candles.,185707,343,Poor,84438,26.74,0,0
I need funds to pay for my daughter's college tuition.,113710,430,Poor,13270,41.5,0,0
I need a loan to pay off overdue electricity and water bills.,155417,580,Fair,35525,15.03,1,1
I need a loan to cover hospital bills after an unexpected surgery.,116375,821,Excellent,28425,34.56,1,1
I need money to purchase updated equipment for my photography business.,101622,365,Poor,64359,24.82,1,0
I need funds to buy new furniture and appliances for my house.,125013,848,Excellent,15920,27.27,0,0
I need financial support to open a daycare center in my neighborhood.,159936,376,Poor,77386,4.66,0,0
I need money to invest in stock trading and portfolio building.,181981,757,Very Good,15008,22.11,1,1
I want to invest in a rental property as a source of passive income.,187460,609,Fair,70994,24.61,0,0
I need funds to expand my home-based bakery to a physical store.,154316,598,Fair,55003,14.43,0,0
I need money to cover unexpected medical expenses from surgery.,37404,742,Very Good,5414,51.55,0,0
I need a loan to build a website and market my freelance services.,77312,810,Excellent,44378,49.36,1,1
I need financial assistance to buy farm equipment for my agricultural business.,113078,810,Excellent,60376,25.64,1,1
I need a loan to develop and launch my mobile app startup.,193682,749,Very Good,28383,10.48,0,0
I need a loan to pay for my son's medical treatment and therapy.,193510,611,Fair,43907,24.34,1,1
I want to invest in a rental property as a source of passive income.,65888,607,Fair,25635,16.59,0,0
I want to expand my small online clothing store.,164176,655,Fair,97844,28.07,0,0
I need financial help to install a swimming pool in my backyard.,84864,743,Very Good,4141,35.94,0,0
I need money to cover funeral expenses for a loved one.,98614,598,Fair,62727,30.61,0,0
I need funds to pay for my pilot training program.,66317,425,Poor,49693,41.67,0,0
I need money to launch my own tech startup focused on AI solutions.,94300,384,Poor,64839,48.88,0,0
I need a loan to pay for an international vacation with my family.,131331,365,Poor,1385,25.86,0,0
I want to consolidate my credit card debts into one manageable payment.,62352,469,Poor,34660,16.1,1,0
I need a loan to pay for legal fees related to my business license.,167991,373,Poor,76151,28.16,1,0
I want to invest in a rental property as a source of passive income.,98604,580,Fair,63850,49.44,0,0
I need a loan to relocate to a new city after getting a job offer.,174874,561,Poor,54318,23.94,0,0
I need money to invest in stock trading and portfolio building.,95445,326,Poor,17433,14.06,0,0
I need a loan to pay for a digital marketing course to grow my business.,194178,547,Poor,8516,9.37,1,0
I need funds to expand my home-based bakery to a physical store.,186308,656,Fair,101786,3.72,1,1
I need a loan to pay for an international vacation with my family.,166231,493,Poor,99857,19.39,0,0
I need financial help to cover unexpected veterinary bills for my pet.,52273,686,Good,28122,61.66,0,0
I need a loan to finance my MBA and career advancement.,92845,478,Poor,18619,7.65,1,0
I need money to purchase updated equipment for my photography business.,74724,748,Very Good,37289,43.82,1,1
I want to buy a car for my rideshare business on Uber.,147984,666,Fair,98041,30.71,1,0
I need money to refinance my home loan at a lower interest rate.,144348,763,Very Good,10459,31.35,0,0
I need financial help to pay off my high-interest payday loans.,186635,611,Fair,106802,12.37,1,1
I need funds to upgrade my computer and buy software for freelance work.,97008,327,Poor,22522,46.82,1,0
I need money to pay for a vocational training course in plumbing.,111871,364,Poor,40851,31.29,0,0
I need a loan to pay for a much-needed vacation after years of saving.,133844,614,Fair,107037,10.6,0,0
"I need financial help to cover wedding expenses, including the venue and catering.",48847,692,Good,33087,43.28,1,0
I need money to open a small bookstore and café.,77195,368,Poor,39309,54.66,0,0
I need money to open a small bookstore and café.,180521,642,Fair,42405,15.69,1,1
I need a loan to buy a truck and start a moving business.,199649,749,Very Good,69867,14.83,1,1
I need money to purchase a food truck and start my own business.,179345,346,Poor,57710,3.75,0,0
I need a loan to start a small business.,66897,642,Fair,5164,41.1,1,1
I need money to start a home-based catering business.,95641,561,Poor,53341,42.87,0,0
I need a loan to develop and launch my mobile app startup.,67334,846,Excellent,15987,59.59,1,0
I need money to purchase a food truck and start my own business.,142898,546,Poor,9664,14.2,0,0
I need a loan to pay for a much-needed vacation after years of saving.,92349,687,Good,49993,11.35,0,0
I need financial support to renovate my rental apartment.,172111,502,Poor,94742,8.57,1,0
I need a loan to pay for an international vacation with my family.,88344,768,Very Good,68771,44.68,0,0
I need funds to launch my handmade jewelry brand online.,76008,365,Poor,58334,18.13,1,0
I need financial support to pay for my son's football training program.,190559,745,Very Good,25840,17.24,1,1
"I need financial help to cover wedding expenses, including the venue and catering.",158500,682,Good,7763,23.91,1,1
I need money to refinance my home loan at a lower interest rate.,160486,791,Very Good,12242,13.05,0,0
I need money to cover funeral expenses for a loved one.,172645,386,Poor,25143,15.22,1,0
I need financial help to build my dream home in the countryside.,79989,743,Very Good,36052,45.69,0,0
I need funds to stock inventory for my new retail store.,185493,406,Poor,128371,3.22,1,0
I need funds to expand my home-based bakery to a physical store.,98955,431,Poor,60525,26.95,1,0
I need money to invest in a franchise business opportunity.,188378,302,Poor,113148,7.62,1,0
I need money to pay for a vocational training course in plumbing.,38901,681,Good,6872,57.21,1,0
I want to consolidate my credit card debts into one manageable payment.,125970,334,Poor,25207,6.72,1,0
"I need financial help to cover wedding expenses, including the venue and catering.",68501,814,Excellent,22970,48.6,0,0
I need money to cover unexpected medical expenses from surgery.,197020,634,Fair,45092,7.13,0,0
I need money to refinance my home loan at a lower interest rate.,45123,596,Fair,2789,33.36,0,0
I need money to invest in a franchise business opportunity.,145933,337,Poor,42292,8.06,1,0
I need financial help to build my dream home in the countryside.,103822,445,Poor,13510,6.02,0,0
I need funds to expand my home-based bakery to a physical store.,85496,510,Poor,19435,45.65,1,0
I need money to cover unexpected legal expenses related to a dispute.,55816,584,Fair,3064,13.34,0,0
I want to invest in a rental property as a source of passive income.,173906,433,Poor,47163,9.82,1,0
I need a loan to pay for my son's medical treatment and therapy.,119032,443,Poor,4608,40.26,1,0
I need a loan to buy a reliable used car for work commuting.,39798,416,Poor,9389,46.77,0,0
I need money to cover funeral expenses for a loved one.,78622,403,Poor,15930,22.4,1,0
I need a loan to pay for a much-needed vacation after years of saving.,67588,829,Excellent,8650,44.13,1,1
I need a loan to buy a motorcycle for daily transportation.,83768,560,Poor,54965,32.22,0,0
I need money to buy new tools and materials for my woodworking business.,53093,521,Poor,13168,46.98,0,0
I need money to purchase a food truck and start my own business.,98105,753,Very Good,1652,33.7,1,1
I need a loan to cover moving expenses after being transferred to another city.,173000,824,Excellent,113564,19.18,1,0
I need financial assistance to launch my own YouTube content creation business.,138965,784,Very Good,108602,33.08,1,0
I need funds to upgrade my computer and buy software for freelance work.,193505,669,Fair,124705,8.59,1,0
I need financial help to cover maternity and delivery expenses.,126106,394,Poor,91224,21.35,1,0
I need funds to pay for my pilot training program.,125980,679,Good,74756,21.27,1,1
I need money to start a home-based catering business.,147906,699,Good,49461,10.37,1,1
I need money to start a home-based catering business.,143923,678,Good,33664,13.45,0,0
I need a loan to pay for my son's medical treatment and therapy.,61747,595,Fair,18746,54.96,0,0
I need financial assistance to launch my own YouTube content creation business.,103304,538,Poor,28312,26.29,0,0
I want to invest in livestock to start a small dairy farm.,186144,647,Fair,41395,11.48,0,0
I need funds to buy new furniture and appliances for my house.,121779,805,Excellent,20757,35.98,0,0
I want to make home improvements like installing solar panels.,108802,786,Very Good,21532,9.52,0,0
I want to buy a car for my rideshare business on Uber.,71515,529,Poor,18789,36.68,1,0
I need a loan to pay for a digital marketing course to grow my business.,127695,636,Fair,99183,29.59,0,0
I need money to pay for a vocational training course in plumbing.,195310,326,Poor,27546,16.42,0,0
I need money to launch my own tech startup focused on AI solutions.,192300,379,Poor,26213,16.75,0,0
I need a loan to pay off overdue electricity and water bills.,196635,812,Excellent,27609,5.32,0,0
I need money to publish and market my self-written book.,191908,501,Poor,24169,18.38,1,0
I need money to open a small bookstore and café.,35448,782,Very Good,26395,44.8,1,0
I need money to refinance my home loan at a lower interest rate.,91793,849,Excellent,56523,49.25,0,0
I need money to cover unexpected medical expenses from surgery.,165734,443,Poor,73115,18.3,1,0
I need financial assistance to buy farm equipment for my agricultural business.,54554,425,Poor,27098,43.46,1,0
I need money to purchase a food truck and start my own business.,135873,706,Good,43377,12.55,0,0
I need a loan to develop and launch my mobile app startup.,171559,468,Poor,78735,17.76,0,0
I need a loan to pay for legal fees related to my business license.,73769,495,Poor,8135,59.89,0,0
I need money to cover unexpected legal expenses related to a dispute.,173375,607,Fair,57421,3.31,0,0
I need a loan to cover moving expenses after being transferred to another city.,152547,381,Poor,15396,31.97,1,0
I need money to invest in a franchise business opportunity.,120471,599,Fair,61314,35.0,1,1
I need money to invest in a franchise business opportunity.,138357,326,Poor,90381,23.11,1,0
I need a loan to repair my car after an accident.,106150,525,Poor,15540,41.76,1,0
I want to make home improvements like installing solar panels.,122139,410,Poor,46862,13.2,1,0
I need a loan to pay for an international vacation with my family.,125212,552,Poor,79857,33.71,0,0
I need funds to pay for my daughter's college tuition.,41313,499,Poor,8589,48.02,0,0
I need money to start a home-based catering business.,76477,787,Very Good,28476,63.6,0,0
I need money to cover funeral expenses for a loved one.,199739,580,Fair,27316,20.01,0,0
I need a loan to buy a reliable used car for work commuting.,167679,571,Poor,17272,6.45,1,1
I need financial assistance to launch my own YouTube content creation business.,149400,521,Poor,10687,5.0,0,0
I need financial help to pay off my high-interest payday loans.,158841,727,Good,122350,20.35,1,0
I need a loan to pay for legal fees related to my business license.,162682,333,Poor,115841,5.99,1,0
I need money to pay for a vocational training course in plumbing.,96540,447,Poor,27289,13.46,0,0
I want to start a local transportation service and need funds for a van.,106278,609,Fair,35227,38.84,1,1
I need a loan to relocate to a new city after getting a job offer.,74926,626,Fair,5894,23.95,0,0
I need a loan to relocate to a new city after getting a job offer.,145319,398,Poor,110750,25.34,1,0
I need money to cover funeral expenses for a loved one.,162487,691,Good,11464,5.45,0,0
I need money to cover unexpected legal expenses related to a dispute.,45627,616,Fair,9870,13.29,0,0
I want to start a small roadside food stall and need funds for equipment.,195376,304,Poor,137512,7.98,1,0
I need financial support to renovate my rental apartment.,44121,422,Poor,31105,31.01,0,0
I need funds to launch my handmade jewelry brand online.,55839,796,Very Good,40817,17.77,1,0
I need financial assistance to launch my own YouTube content creation business.,144895,822,Excellent,65337,20.12,0,0
I need financial support to renovate my rental apartment.,132381,492,Poor,10404,33.74,1,0
I need money to open a small bookstore and café.,52011,593,Fair,17351,30.95,1,1
I need financial assistance to buy farm equipment for my agricultural business.,111318,590,Fair,10979,7.31,1,1
I need a loan to cover emergency expenses after a natural disaster.,107953,523,Poor,7736,24.76,0,0
I need financial assistance to launch my own YouTube content creation business.,193510,489,Poor,18414,15.74,0,0
I need financial help to build my dream home in the countryside.,110280,645,Fair,43359,14.47,1,1
I need financial support to pay for my son's football training program.,101759,376,Poor,19209,5.04,0,0
I need a loan to pay for a digital marketing course to grow my business.,147548,366,Poor,77513,24.11,0,0
I need a loan to upgrade my small music studio with better equipment.,157812,667,Fair,52174,20.86,0,0
I want to start a local transportation service and need funds for a van.,169477,526,Poor,9028,5.21,0,0
I want to make home improvements like installing solar panels.,174887,648,Fair,119336,19.07,0,0
I need a loan to pay for legal fees related to my business license.,74580,674,Good,52006,38.7,0,0
I need financial help to cover unexpected veterinary bills for my pet.,60910,699,Good,9733,51.7,0,0
I need a loan to pay for legal fees related to my business license.,116195,326,Poor,51171,18.91,1,0
I need money to purchase specialized tools for my auto repair shop.,25912,343,Poor,10635,40.29,0,0
I need a loan to pay for an international vacation with my family.,78322,305,Poor,34373,38.02,0,0
I need financial support for medical treatment abroad.,88334,341,Poor,59337,43.64,1,0
I need money to start a home-based catering business.,46290,797,Very Good,36146,30.0,1,0
